title,keyword,date,link,sentiment_score
"There Is Fundamental Value In Broadcom, And It Yields 3.35%",AAPL,2022-12-09T14:29:00Z,https://www.marketbeat.com/originals/there-is-fundamental-value-in-broadcom-and-it-yields-335/,0.2006
Top 10 Searched Stocks on MarketBeat All-Access,AAPL,2022-12-08T06:05:00Z,https://www.marketbeat.com/originals/top-10-searched-stocks-on-marketbeat-all-access/,0.8834
'Apple is shameless in their bullying': Spotify CEO joins Elon Musk in slamming App Store policies - Yahoo Canada Finance,AAPL,2022-11-30T15:18:29Z,https://ca.finance.yahoo.com/news/apple-app-store-daniel-ek-spotify-ceo-151829989.html,-0.5267
Berkshire Hathaway bought a $4.1B stake in Apple chipmaker TSMC,AAPL,2022-11-15T14:59:05Z,https://9to5mac.com/2022/11/15/berkshire-hathaway-bought/,0.0
"The Ratings Game: Apple iPhone wait times have doubled to after Christmas, UBS says",AAPL,2022-11-23T15:57:00Z,https://www.marketwatch.com/story/apple-iphone-wait-times-have-doubled-to-after-christmas-ubs-says-11669219073,-0.34
"Earnings Watch: Wall Street grows pessimistic about holiday season, but record profit still expected",AAPL,2022-12-05T18:26:00Z,https://www.marketwatch.com/story/wall-street-grows-pessimistic-about-holiday-season-but-record-profit-still-expected-11670264782,-0.024
JP Morgan lowers AAPL target to $151 as iPhone 14 Pro lead times increase,AAPL,2022-11-21T16:44:04Z,https://appleinsider.com/articles/22/11/21/jp-morgan-lowers-aapl-target-to-151-as-iphone-14-pro-lead-times-increase,-0.4215
Stock market news live updates: Stock futures rebound as China COVID concerns ease,AAPL,2022-11-29T13:00:33Z,https://finance.yahoo.com/news/stock-market-news-live-updates-november-29-2022-130033575.html,-0.5574
Apple stock 'could be the canary in the coal mine' for China reopening: Strategist,AAPL,2022-11-23T17:33:12Z,https://finance.yahoo.com/news/apples-stock-china-reopening-strategist-173312072.html,0.8126
The 'exceptionalism of technology' is probably over for the stock market: Goldman,AAPL,2022-11-29T10:51:45Z,https://finance.yahoo.com/news/goldman-sachs-big-tech-stock-market-outlook-105145257.html,0.2732
Apple could have two non-China problems on its hands in 2023: analyst,AAPL,2022-11-29T20:12:05Z,https://finance.yahoo.com/news/apple-could-have-2-non-china-problems-on-its-hands-in-2023-analyst-201205949.html,-0.5994
'Apple is shameless in their bullying': Spotify CEO joins Elon Musk in slamming App Store policies,AAPL,2022-11-30T15:18:29Z,https://finance.yahoo.com/news/apple-app-store-daniel-ek-spotify-ceo-151829989.html,-0.5267
Apple is making your iPhone more secure to fight off nation-state hackers,AAPL,2022-12-07T18:00:08Z,https://finance.yahoo.com/news/apple-is-making-your-i-phone-more-secure-to-fight-off-nation-state-hackers-180008035.html,0.7579
What China’s zero-COVID troubles mean for global economic growth,AAPL,2022-12-03T13:13:45Z,https://finance.yahoo.com/news/china-zero-covid-global-economic-growth-131345698.html,0.0
4 Charts That Show Why Apple Could Outperform the Markets in 2023,AAPL,2022-11-17T15:15:00Z,https://www.fool.com/investing/2022/11/17/4-charts-that-show-why-apple-could-outperform-the/,0.6369
Why Apple Stock Fell Today,AAPL,2022-11-29T22:00:11Z,https://www.fool.com/investing/2022/11/29/why-apple-stock-fell-today/,0.3182
Why Apple Stock Is Sinking Today,AAPL,2022-11-28T16:53:02Z,https://www.fool.com/investing/2022/11/28/why-apple-stock-is-sinking-today/,0.1531
Why Investors Cranked Spotify Stock Higher Today,AAPL,2022-12-13T23:16:57Z,https://www.fool.com/investing/2022/12/13/why-investors-cranked-spotify-stock-higher-today/,0.6124
Why Manchester United Stock Was Rocketing Higher Again Today,AAPL,2022-11-25T17:27:41Z,https://www.fool.com/investing/2022/11/25/why-manchester-united-stock-was-rocketing-higher/,0.7506
Better Buy: Apple or Microsoft,AAPL,2022-11-22T13:13:00Z,https://www.fool.com/investing/2022/11/22/better-buy-apple-or-microsoft/,0.4404
Why Qualcomm Stock Rose Today Despite a Fresh Analyst Downgrade,AAPL,2022-12-12T22:42:05Z,https://www.fool.com/investing/2022/12/12/why-qualcomm-stock-rose-today-despite-a-fresh-ana/,0.1655
Why Apple Stock Traded Lower on Monday,AAPL,2022-11-21T22:18:00Z,https://www.fool.com/investing/2022/11/21/why-apple-stock-traded-lower-on-monday/,0.0
Why Apple Stock Eked Out a Market Beat Today,AAPL,2022-12-09T21:53:01Z,https://www.fool.com/investing/2022/12/09/why-apple-stock-eked-out-a-market-beat-today/,0.9186
Should Tech Investors Be Worried About Apple?,AAPL,2022-11-29T14:18:00Z,https://www.fool.com/investing/2022/11/29/should-tech-investors-be-worried-about-apple/,0.0
Supply Chain Risks Loom for Semiconductors and Tech Infrastructure,AAPL,2022-12-04T12:30:00Z,https://www.fool.com/investing/2022/12/04/supply-chain-risks-loom-for-semiconductors-and-tec/,0.0772
Better Buy: Roku vs. Pinterest,AAPL,2022-11-29T16:00:00Z,https://www.fool.com/investing/2022/11/29/better-buy-roku-vs-pinterest/,0.4391
This FAANG Stock Is Crushing It Despite Inflation,AAPL,2022-11-14T11:26:00Z,https://www.fool.com/investing/2022/11/14/this-faang-stock-is-crushing-it-despite-inflation/,0.4588
"Down 17%, Is Apple Stock a Buy Now?",AAPL,2022-11-28T11:14:00Z,https://www.fool.com/investing/2022/11/28/is-apple-stock-a-buy-now/,0.8214
3 Things You Shouldn't Do If the Stock Market Crashes,AAPL,2022-11-23T11:44:00Z,https://www.fool.com/investing/2022/11/23/3-things-you-shouldnt-do-if-stock-market-crash/,-0.1623
Is Roku a Safe Stock?,AAPL,2022-12-11T16:21:00Z,https://www.fool.com/investing/2022/12/11/is-roku-a-safe-stock/,-0.0258
Why Investors Should Love Apple's Dividend,AAPL,2022-12-07T13:01:00Z,https://www.fool.com/investing/2022/12/07/why-investors-should-love-apples-dividend/,0.7964
5 Signs You May Have a Recession-Proof Stock,AAPL,2022-11-19T11:41:00Z,https://www.fool.com/investing/2022/11/19/5-signs-you-may-have-a-recession-proof-stock/,0.7964
What China's Lockdown Protests Mean for Apple Stock,AAPL,2022-12-01T10:20:00Z,https://www.fool.com/investing/2022/12/01/what-china-lockdown-protests-mean-apple-stock/,-0.6249
Is Apple a Must-Own Stock in 2023?,AAPL,2022-11-29T16:30:00Z,https://www.fool.com/investing/2022/11/29/is-apple-a-must-own-stock-in-2023/,0.6096
My Top Warren Buffett Stock to Buy and Hold in 2023 and Beyond,AAPL,2022-12-02T14:15:00Z,https://www.fool.com/investing/2022/12/02/my-top-warren-buffett-stock-to-buy-and-hold-in-202/,0.8313
Over Half of Millennials Own Stocks. Here Are 3 Stock Ideas to Start Your Own Portfolio.,AAPL,2022-11-15T15:30:00Z,https://www.fool.com/investing/2022/11/15/over-half-of-millennials-own-stocks-here-are-3/,-0.3622
The Best FAANG Stock to Buy in December,AAPL,2022-12-01T10:55:00Z,https://www.fool.com/investing/2022/12/01/the-best-faang-stock-to-buy-in-december/,0.7984
"Meta Platforms Stock: Buy, Sell, or Hold in 2023?",AAPL,2022-11-14T16:03:30Z,https://www.fool.com/investing/2022/11/14/meta-platforms-stock-buy-sell-or-hold-in-2023/,-0.7003
Is The Trade Desk Stock a Buy Now?,AAPL,2022-11-18T10:35:00Z,https://www.fool.com/investing/2022/11/18/is-the-trade-desk-stock-a-buy-now/,0.5106
3 Reasons I'm Avoiding Meta Platforms Stock For Now,AAPL,2022-11-30T10:55:00Z,https://www.fool.com/investing/2022/11/30/3-reasons-im-avoiding-meta-platforms-stock-for-now/,-0.1531
