post,keyword,date,link,sentiment_score
"RT @FatKidDeals: For those tagging us, get yours for $29.98! (5 colors in stock via Amazon)

https://t.co/DbObWVgJ9h",AMZN,Tue Dec 13 02:02:11 +0000 2022,https://twitter.com/i/web/status/1602483995438387200,0.2481
@LoriP6 Thank you for letting us know. This can happen if the item you've ordered was temporarily out of stock. You… https://t.co/3M5LqeIahs,AMZN,Tue Dec 13 01:37:13 +0000 2022,https://twitter.com/i/web/status/1602477709103448065,0.3612
"RT @preterniadotcom: Hasbro G.I. Joe Classified Series 6"" Zarana is back in stock on Amazon ($24.99) - https://t.co/mZAjFEPdmn

Crimson Gua…",AMZN,Tue Dec 13 01:17:48 +0000 2022,https://twitter.com/i/web/status/1602472824668655620,0.1779
RT @UPBOptionMil: Todays most active stock options $WBD $TSLA $ALLY $AMZN $NU $AMD $MLCO $BABA $AMC https://t.co/ZnIGuYdkbL,AMZN,Tue Dec 13 00:09:36 +0000 2022,https://twitter.com/i/web/status/1602455662558351360,0.4576
"@earnlearninvest Nothing is forever for me. Sold AAPL, trimmed AMZN in the past; not married to any stock. May get back in next year.",AMZN,Tue Dec 13 00:04:20 +0000 2022,https://twitter.com/i/web/status/1602454335618547712,0.0
"RT @MoGalore: #99cBooks
The Stock Sectors To Be In: Commodities and Necessities: New for 2021 
by Tony Faso https://t.co/OCKenWxEXl
@TonyFa…",AMZN,Mon Dec 12 23:27:01 +0000 2022,https://twitter.com/i/web/status/1602444944194543617,0.0
"RT @FatKidDeals: For those tagging us, get yours for $29.98! (5 colors in stock via Amazon)

https://t.co/DbObWVgJ9h https://t.co/xjSzhpnD3G",AMZN,Mon Dec 12 23:23:00 +0000 2022,https://twitter.com/i/web/status/1602443934097088513,0.2481
"RT @HoomanDeals: **Back in stock**
Transformers Toys Studio Series Core Class The The Movie Decepticon Rumble (Blue) Action Figure - Ages 8…",AMZN,Mon Dec 12 23:19:02 +0000 2022,https://twitter.com/i/web/status/1602442937303957508,0.0
"RT @HoomanDeals: **In stock**
LOL Surprise Bigger Surprise Limited Edition with 2 Collectible Dolls, 1 Pet, 1 Lil Sis with 60+ Surprises in…",AMZN,Mon Dec 12 23:15:03 +0000 2022,https://twitter.com/i/web/status/1602441932143222785,0.7739
"RT @FatKidDeals: Gumby Plush Filled Dog Toy, for $2.79!!

https://t.co/B2p2ccbKAj

If it says temporarily out of stock, you can still order…",AMZN,Mon Dec 12 23:14:20 +0000 2022,https://twitter.com/i/web/status/1602441751012196352,0.0
RT @preterniadotcom: Hasbro Marvel Legends Moonknight Mr. Knight is down to $20.49 and in stock on Amazon - https://t.co/6d9NJE5HKu #ad htt…,AMZN,Mon Dec 12 22:56:24 +0000 2022,https://twitter.com/i/web/status/1602437241187573763,0.5423
"@TeslaTomMY1 @itechnosmith Only inexperienced investors would blame Elon’s tweets for $tsla drop. Tsla, aapl, and a… https://t.co/ItbBiBjPc2",AMZN,Mon Dec 12 22:38:44 +0000 2022,https://twitter.com/i/web/status/1602432795892408321,-0.5423
"RT @_deepdiveStocks: Next up is Vega - if you've ever been ""iv crushed"", then you are well acquainted with vega! It adjusts the option's pr…",AMZN,Mon Dec 12 22:22:41 +0000 2022,https://twitter.com/i/web/status/1602428756194467841,-0.2481
"RT @HoomanDeals: **Back in stock**
Demon's Souls - PlayStation 5
$29.99 https://t.co/7f2RyKOURn

Ghost of Tsushima Director's Cut - PlaySta…",AMZN,Mon Dec 12 21:49:58 +0000 2022,https://twitter.com/i/web/status/1602420521937010688,-0.5267
"RT @FatKidDeals: Under Armour 1/4 Zip Fleece, only $23.78!! (60% off!!)

https://t.co/7MiWpsNf7o

If it says temporarily out of stock, you…",AMZN,Mon Dec 12 21:32:30 +0000 2022,https://twitter.com/i/web/status/1602416125987459099,0.0
"RT @TechInStockUK: PS5 Disc Console (Next Day Delivery)

🛒 https://t.co/38PkeyBvGM 📦
Currently £539.99 *price and stock availability can ch…",AMZN,Mon Dec 12 21:19:15 +0000 2022,https://twitter.com/i/web/status/1602412793017339929,0.0
"RT @StateOverse: ⚠️💥ALERT💥⚠️
😱
#Statoversians &amp; #POPCulture fans rejoice, for Hasbro's Super SICK NEW Indiana Jones #actionfigure may AGAIN…",AMZN,Mon Dec 12 20:59:20 +0000 2022,https://twitter.com/i/web/status/1602407779863437317,-0.6739
